Town,State,Status,Date Adopted,Date Effective,Notes,Date Adopted.1,Date Effective.1,Notes.1
Newington,CT,Approved,,,,,,
Hartford,CT,Approved,,,,,,
Andover,CT,null,,,,,,
Ansonia,CT,Approved,,,,,,
Ashford,CT,Approved,,,,,,
Avon,CT,Prohibited,,,,,,
Barkhamsted,CT,null,,,,,,
Beacon Falls,CT,Approved,,,,,,
Berlin,CT,null,,,,,,
Bethany,CT,Moratorium,,,,,,
Bethel,CT,Prohibited,,,,,,
Bethlehem,CT,Prohibited,,,,,,
Bloomfield,CT,Approved,,,,,,
Bolton,CT,null,,,,,,
Bozrah,CT,Moratorium,,,,,,
Branford,CT,Approved,,,,,,
Bridgeport,CT,Approved,,,,,,
Bridgewater,CT,Prohibited,,,,,,
Bristol,CT,Approved,,,,,,
Brookfield,CT,null,,,,,,
Brooklyn,CT,Approved,,,,,,
Burlington,CT,Prohibited,,,,,,
Canaan,CT,Approved,,,,,,
Canterbury,CT,null,,,,,,
Canton,CT,Approved,,,,,,
Chaplin,CT,null,,,,,,
Cheshire,CT,Prohibited,,,,,,
Chester,CT,Prohibited,,,,,,
Clinton,CT,Prohibited,,,,,,
Colchester,CT,Moratorium,,,,,,
Colebrook,CT,null,,,,,,
Columbia,CT,null,,,,,,
Cornwall,CT,Moratorium,,,,,,
Coventry,CT,Approved,,,,,,
Cromwell,CT,Approved,,,,,,
Danbury,CT,Approved,,,,,,
Darien,CT,Prohibited,,,,,,
Deep River,CT,null,,,,,,
Derby,CT,null,,,,,,
Durham,CT,Moratorium,,,,,,
East Granby,CT,null,,,,,,
East Haddam,CT,null,,,,,,
East Hampton,CT,Approved,,,,,,
East Hartford,CT,Approved,,,,,,
East Haven,CT,null,,,,,,
East Lyme,CT,Approved,,,,,,
East Windsor,CT,Approved,,,,,,
Eastford,CT,null,,,,,,
Easton,CT,Approved,,,,,,
Ellington,CT,Moratorium,,,,,,
Enfield,CT,Approved,,,,,,
Essex,CT,Moratorium,,,,,,
Fairfield,CT,null,,,,,,
Farmington,CT,Approved,,,,,,
Franklin,CT,Approved,,,,,,
Glastonbury,CT,Prohibited,,,,,,
Goshen,CT,Moratorium,,,,,,
Granby,CT,Moratorium,,,,,,
Greenwich,CT,Prohibited,,,,,,
Griswold,CT,Moratorium,,,,,,
Groton,CT,Approved,,,,,,
Guilford,CT,Moratorium,,,,,,
Haddam,CT,null,,,,,,
Hamden,CT,null,,,,,,
Hampton,CT,null,,,,,,
Hartland,CT,null,,,,,,
Harwinton,CT,Moratorium,,,,,,
Hebron,CT,Moratorium,,,,,,
Kent,CT,Prohibited,,,,,,
Killingly,CT,Approved,,,,,,
Killingworth,CT,Prohibited,,,,,,
Lebanon,CT,Approved,,,,,,
Ledyard,CT,null,,,,,,
Lisbon,CT,null,,,,,,
Litchfield,CT,Moratorium,,,,,,
Lyme,CT,null,,,,,,
Madison,CT,Prohibited,,,,,,
Manchester,CT,Approved,,,,,,
Mansfield,CT,null,,,,,,
Marlborough,CT,Moratorium,,,,,,
Meriden,CT,Approved,,,,,,
Middlebury,CT,null,,,,,,
Middlefield,CT,Prohibited,,,,,,
Middletown,CT,Approved,,,,,,
Milford,CT,null,,,,,,
Monroe,CT,Prohibited,,,,,,
Montville,CT,Approved,,,,,,
Morris,CT,Approved,,,,,,
Naugatuck,CT,Approved,,,,,,
New Britain,CT,Approved,,,,,,
New Canaan,CT,Prohibited,,,,,,
New Fairfield,CT,null,,,,,,
New Hartford,CT,Moratorium,,,,,,
New Haven,CT,null,,,,,,
New London,CT,Approved,,,,,,
New Milford,CT,Moratorium,,,,,,
Newtown,CT,Prohibited,,,,,,
Norfolk,CT,null,,,,,,
North Branford,CT,null,,,,,,
North Canaan,CT,null,,,,,,
North Haven,CT,null,,,,,,
North Stonington,CT,Approved,,,,,,
Norwalk,CT,null,,,,,,
Norwich,CT,Approved,,,,,,
Old Lyme,CT,Prohibited,,,,,,
Old Saybrook,CT,Approved,,,,,,
Orange,CT,Moratorium,,,,,,
Oxford,CT,null,,,,,,
Plainfield,CT,Approved,,,,,,
Plainville,CT,Approved,,,,,,
Plymouth,CT,null,,,,,,
Pomfret,CT,Approved,,,,,,
Portland,CT,null,,,,,,
Preston,CT,Moratorium,,,,,,
Prospect,CT,Prohibited,,,,,,
